Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-5671678,特許2010-510812(2008/06/05),5671678,フランス国(500025477)アンスティテュ、ナショナル、ド、ラ、サント、エ、ド、ラ、ルシェルシュ、メディカル（アンセルム） フランス国(594016872)サントル、ナショナール、ド、ラ、ルシェルシュ、シアンティフィク、（セーエヌエルエス）,ニューロン生存因子およびその使用,4,本権利は抹消されていない存続期間満了日(2028/06/05),9年,(2022/12/28)
page-5674118,特許2010-276929(2010/12/13),5674118,埼玉県上尾市(000003908)ＵＤトラックス株式会社 東京都荒川区(000000387)株式会社ＡＤＥＫＡ,摺動機構及びその摩擦低減方法,2,本権利は抹消されていない存続期間満了日(2030/12/13),9年,(2022/12/28)
page-5674119,特許2010-276943(2010/12/13),5674119,埼玉県上尾市(000003908)ＵＤトラックス株式会社 東京都荒川区(000000387)株式会社ＡＤＥＫＡ,摺動機構及びその摩擦低減方法,2,本権利は抹消されていない存続期間満了日(2030/12/13),9年,(2022/12/28)
page-5674224,特許2011-526292(2009/09/09),5674224,アメリカ合衆国(596024024)サン・ケミカル・コーポレーション,カーボンナノチューブ分散体,15,本権利は抹消されていない存続期間満了日(2029/09/09),9年,(2022/12/28)
page-5674299,特許2009-223610(2009/09/29),5674299,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,イメージング・システムのＺ位置依存型Ｘ線ビーム・フィルタリングの装置及び方法,9,本権利は抹消されていない存続期間満了日(2029/09/29),9年,(2022/12/28)
page-5674301,特許2009-240958(2009/10/20),5674301,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,変換器を用いたエネルギー移行のための装置及びその製造方法,10,本権利は抹消されていない存続期間満了日(2029/10/20),9年,(2022/12/28)
page-5674308,特許2009-296993(2009/12/28),5674308,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,トランジションピースの冷却方法及び装置,9,本権利は抹消されていない存続期間満了日(2029/12/28),9年,(2022/12/28)
page-5674314,特許2009-552013(2008/02/28),5674314,アメリカ合衆国(505307471)インテグリス・インコーポレーテッド,レチクルＳＭＩＦポッド又は基板コンテナ及びそのパージ方法,12,本権利は抹消されていない存続期間満了日(2028/02/28),9年,(2022/12/28)
page-5674347,特許2010-137980(2010/06/17),5674347,アメリカ合衆国(596170170)ゼロックス　コーポレイション,トナー性能向上用精製ポリエステル樹脂,2,本権利は抹消されていない存続期間満了日(2030/06/17),9年,(2022/12/28)
page-5674351,特許2010-143251(2010/06/24),5674351,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ガスタービンのためのＮＯＸ遵守ピーク,10,本権利は抹消されていない存続期間満了日(2030/06/24),9年,(2022/12/28)
page-5674356,特許2010-149519(2010/06/30),5674356,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置,18,本権利は抹消されていない存続期間満了日(2030/06/30),9年,(2022/12/28)
page-5674379,特許2010-178267(2010/08/09),5674379,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,複数のエネルギを蓄積及び管理するシステムとその作製方法,10,本権利は抹消されていない存続期間満了日(2030/08/09),9年,(2022/12/28)
page-5674383,特許2010-186779(2010/08/24),5674383,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,電気機械を非制限電流波形で励起させるシステム及び方法,10,本権利は抹消されていない存続期間満了日(2030/08/24),9年,(2022/12/28)
page-5674457,特許2010-289964(2010/12/27),5674457,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,患者の統合健康情報をシームレスに視覚表示するシステム及び方法,10,本権利は抹消されていない存続期間満了日(2030/12/27),9年,(2022/12/28)
page-5674469,特許2010-528889(2008/10/10),5674469,アメリカ合衆国(592221528)バイオジェン　エムエー　インコーポレイテッド,ＬＩＮＧＯ－１アンタゴニストおよびＴｒｋＢアゴニストの投与を介して圧力誘導性の視神経障害を処置し、神経変性を防ぎ、ニューロン細胞の生存を促進する方法,15,本権利は抹消されていない存続期間満了日(2028/10/10),9年,(2022/12/28)
page-5674479,特許2010-547620(2009/02/13),5674479,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,還元プラズマに耐性のイットリウム含有セラミックコーティング,10,本権利は抹消されていない存続期間満了日(2029/02/13),9年,(2022/12/28)
