Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-3150711,特許平10-549910(1998/05/14),3150711,イギリス国ヴィーブ、ヘルスケア、ユーケー、リミテッド,炭素環式ヌクレオシドヘミスルフェートおよびウイルス感染症の治療におけるその使用,16,本権利は抹消されていない存続期間満了日(2023/05/14),23年,(2023/01/04)
page-3633895,特許2001-351013(2001/11/16),3633895,大阪府大阪市(000002934)武田薬品工業株式会社,コポリビドン含有製剤,9,本権利は抹消されていない存続期間満了日(2026/11/16),19年,(2023/01/04)
page-3761562,特許2004-571048(2003/09/17),3761562,イギリス(504394342)アーム・リミテッド,集積回路の診断回路用通信インターフェイス,60,本権利は抹消されていない存続期間満了日(2023/09/17),18年,(2023/01/04)
page-3903057,特許2005-211476(2005/07/21),3903057,フランス国(500069792)フレシネ,安定処理土構造体およびその建設用の表面部材単位,15,本権利は抹消されていない存続期間満了日(2025/07/21),17年,(2023/01/04)
page-3905552,特許2006-516359(2004/01/20),3905552,イギリス(504394342)アーム・リミテッド,複数の命令セットを有するデータ処理装置内における命令エンコード,33,本権利は抹消されていない存続期間満了日(2024/01/20),17年,(2023/01/04)
page-4065414,特許2003-087103(2003/03/27),4065414,アメリカ合衆国(500147506)シリコン　ストーリッジ　テクノロージー　インコーポレイテッド,埋設ソースライン及びフローティングゲートを伴うフローティングゲートメモリセルの半導体メモリアレーを形成する自己整列型方法及びそれにより作られたメモリアレー,23,本権利は抹消されていない存続期間満了日(2023/03/27),16年,(2023/01/04)
page-4068118,特許2006-175511(2004/12/17),4068118,大阪府大阪市武田薬品工業株式会社,ジペプチジルペプチダーゼ阻害剤,2,本権利は抹消されていない存続期間満了日(2029/12/17),16年,(2023/01/04)
page-4239099,特許2004-566831(2003/12/18),4239099,スイス(505072926)イーティーエー　エスエー　マニュファクチュア　ホルロゲア　スイス,日付と曜日とを表示する時計のカレンダー機構,12,本権利は抹消されていない存続期間満了日(2023/12/18),15年,(2023/01/04)
page-4240051,特許2006-111868(2006/04/14),4240051,アメリカ合衆国マイクロチップ　テクノロジー　インコーポレイテッド,原子発振器、温度検知手段の封止方法、及びルビジウム原子発振器,9,本権利は抹消されていない存続期間満了日(2026/04/14),15年,(2023/01/04)
page-4241824,特許2006-515287(2004/06/09),4241824,ドイツ連邦共和国(595016451)メラー　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング,接触器のための機械的なロック装置及びロック装置のための補助工具,7,本権利は抹消されていない存続期間満了日(2024/06/09),15年,(2023/01/04)
page-4241829,特許2006-530252(2004/09/27),4241829,ドイツ連邦共和国(595016451)メラー　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング,ボックス端子を備えたコンタクタ,6,本権利は抹消されていない存続期間満了日(2024/09/27),15年,(2023/01/04)
page-4242834,特許2004-525291(2003/07/23),4242834,スイス(504274505)シーカ・テクノロジー・アーゲー,ポリアルジミンを含有するポリウレタン組成物,27,本権利は抹消されていない存続期間満了日(2023/07/23),15年,(2023/01/04)
page-4243245,特許2004-509960(2003/05/29),4243245,アメリカ合衆国(501261300)エヌヴィディア　コーポレイション,トランスペアレントＥＣＣメモリシステム,6,本権利は抹消されていない存続期間満了日(2023/05/29),15年,(2023/01/04)
page-4245504,特許2004-111905(2004/04/06),4245504,フランス国(500045316)スネクマ,グラフィカルインタフェースシステム,10,本権利は抹消されていない存続期間満了日(2024/04/06),15年,(2023/01/04)
page-4245560,特許2004-507710(2003/05/22),4245560,フランス国(500045316)スネクマ,ダンパおよびバックストップを備えたヒュージブルリンク,2,本権利は抹消されていない存続期間満了日(2023/05/22),15年,(2023/01/04)
page-4246235,特許2006-544442(2004/12/15),4246235,フランスゲマルト　ソシエテ　アノニム,電気通信ネットワーク加入者の個人データをバックアップする方法、装置、および関連サーバ,11,本権利は抹消されていない存続期間満了日(2024/12/15),15年,(2023/01/04)
page-4246564,特許2003-271693(2003/07/08),4246564,アメリカ合衆国(503246934)テスコム・コーポレーション,管内減圧調整装置,5,本権利は抹消されていない存続期間満了日(2023/07/08),15年,(2023/01/04)
page-4247269,特許2006-313832(2006/11/21),4247269,東京都中野区シナプティクス・ジャパン合同会社,表示装置用駆動回路,15,本権利は抹消されていない存続期間満了日(2026/11/21),15年,(2023/01/04)
page-4248413,特許2003-588017(2003/04/25),4248413,アメリカ合衆国(302009279)ウェヤーハウザー・カンパニー,架橋セルロース繊維を含むティシュおよびタオル製品を製造するための方法,29,本権利は抹消されていない存続期間満了日(2023/04/25),15年,(2023/01/04)
page-4249215,特許2006-275385(2006/10/06),4249215,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置,10,本権利は抹消されていない存続期間満了日(2026/10/06),15年,(2023/01/04)
page-4249782,特許2006-538333(2004/10/28),4249782,アメリカ合衆国(390039147)レイセオン　カンパニー,飛来敵に対する車両搭載型の防護装置及び方法,43,本権利は抹消されていない存続期間満了日(2024/10/28),15年,(2023/01/04)
page-4251992,特許2003-579165(2003/03/19),4251992,アメリカ合衆国(501143899)シンボル　テクノロジーズ　インコーポレイテッド,共通撮像アレイを用いる画像捕捉システム及び方法,14,本権利は抹消されていない存続期間満了日(2023/03/19),15年,(2023/01/04)
page-4252513,特許2004-243705(2004/08/24),4252513,フランス国(505277691)スネクマ,低温プラズマ発生手段を有する空気／燃料噴射システム,14,本権利は抹消されていない存続期間満了日(2024/08/24),15年,(2023/01/04)
page-4252554,特許2005-113188(2005/04/11),4252554,フランス国(500045316)スネクマ,可溶性軸受けを有するエンジンの主軸を保護するためのシステム,13,本権利は抹消されていない存続期間満了日(2025/04/11),15年,(2023/01/04)
page-4252976,特許2005-173746(2005/06/14),4252976,アメリカ合衆国(596021300)マイクレル　インコーポレイテッド,平均化ケルビン感知の特徴を有する電流感知抵抗器回路,8,本権利は抹消されていない存続期間満了日(2025/06/14),15年,(2023/01/04)
page-4434951,特許2004-530877(2003/08/06),4434951,アメリカ合衆国(591102637)ドルビー・ラボラトリーズ・ライセンシング・コーポレーション,オーディオチャンネルの空間的変換,32,本権利は抹消されていない存続期間満了日(2023/08/06),14年,(2023/01/04)
page-4434999,特許2005-066689(2005/03/10),4434999,オランダ国(503052173)アディダス　インターナショナル　マーケティング　ベー　ヴェー,スタッド付きシューズ,24,本権利は抹消されていない存続期間満了日(2025/03/10),14年,(2023/01/04)
page-4435118,特許2006-168644(2006/06/19),4435118,イタリア(598031246)チ・エレ・エッフェ・ソシエタ・コンソルティーレ・ペル・アチオニ,サーボ制御変速装置を用いた自動車での駆動軸と主ギア軸の間の結合の制御システムおよび方法,14,本権利は抹消されていない存続期間満了日(2026/06/19),14年,(2023/01/04)
page-4435208,特許2007-157068(2007/06/14),4435208,アメリカ合衆国(590005449)レイセオン　テクノロジーズ　コーポレイション,タービンエンジン構造体に孔ならびにデータム系を設ける方法、およびタービンエンジン構造体,17,本権利は抹消されていない存続期間満了日(2027/06/14),14年,(2023/01/04)
page-4435780,特許2006-514889(2004/05/20),4435780,大阪府大阪市武田薬品工業株式会社,再構成デバイスおよび使用方法,17,本権利は抹消されていない存続期間満了日(2024/05/20),14年,(2023/01/04)
page-4436041,特許2002-518238(2001/08/03),4436041,イギリス国(397009934)グラクソ　グループ　リミテッド,抗炎症剤としての６α，９α－ジフルオロ－１７α－［（２－フラニルカルボキシル）オキシ］－１１β－ヒドロキシ－１６α－メチル－３－オキソ－アンドロスト－１，４－ジエン－１７－チオカルボン酸Ｓ－フルオロメチルエステル,77,本権利は抹消されていない存続期間満了日(2026/08/03),14年,(2023/01/04)
page-4436685,特許2003-571502(2003/02/26),4436685,フランス(500488225)アンスティテュ　ナシオナル　ド　ラ　サント　エ　ド　ラ　ルシュルシェ　メディカル（アンセルム）,マイクロサテライト不安定性の検出のためのモノヌクレオチド反復マイクロサテライトマーカー,15,本権利は抹消されていない存続期間満了日(2023/02/26),14年,(2023/01/04)
page-4436758,特許2004-538072(2003/09/17),4436758,ニュージーランド(501408385)フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,給湿気体を供給する装置,13,本権利は抹消されていない存続期間満了日(2023/09/17),14年,(2023/01/04)
page-4436836,特許2006-522771(2004/08/05),4436836,アメリカ合衆国(506042058)ヌヴァシヴ　インコーポレイテッド,動的なペディクルの完全性評価を実行するシステム及び方法,15,本権利は抹消されていない存続期間満了日(2024/08/05),14年,(2023/01/04)
page-4436841,特許2006-529515(2004/10/01),4436841,カナダ(506110243)ノベリス・インコーポレイテッド,連続鋳造装置の鋳造ベルトの表面テクスチュアリング,33,本権利は抹消されていない存続期間満了日(2024/10/01),14年,(2023/01/04)
page-4437138,特許2006-526355(2004/09/10),4437138,アメリカ合衆国(591025439)ザイリンクス　インコーポレイテッド,選択可能なプリエンファシス信号レベルを有する、ＤＡＣに基づくラインドライバ,11,本権利は抹消されていない存続期間満了日(2024/09/10),14年,(2023/01/04)
page-4437152,特許2007-507712(2005/04/08),4437152,ドイツ連邦共和国(595123069)ビーエーエスエフ　ソシエタス・ヨーロピア,レーザー放射線を使用してプラスチック部品を一緒に溶接する方法,16,本権利は抹消されていない存続期間満了日(2025/04/08),14年,(2023/01/04)
page-4437668,特許2003-584684(2003/04/08),4437668,イギリスカスケイド　テクノロジーズ　ホールディングス　リミテッド,半導体ダイオードを使用したレーザ分光装置およびレーザ分光法,27,本権利は抹消されていない存続期間満了日(2023/04/08),14年,(2023/01/04)
page-4440266,特許2006-520159(2004/05/25),4440266,アメリカ合衆国(390039147)レイセオン　カンパニー,広帯域フェーズドアレイ放射器,25,本権利は抹消されていない存続期間満了日(2024/05/25),14年,(2023/01/04)
page-4440308,特許2007-535802(2005/10/05),4440308,アメリカ合衆国(501261300)エヌヴィディア　コーポレイション,画像圧縮におけるレート制御方法及びシステム,25,本権利は抹消されていない存続期間満了日(2025/10/05),14年,(2023/01/04)
page-4440651,特許2003-581500(2003/03/14),4440651,イギリス国(390028587)ブリティッシュ・テレコミュニケーションズ・パブリック・リミテッド・カンパニー,データストリーミングシステムのためのデータ構造,10,本権利は抹消されていない存続期間満了日(2023/03/14),14年,(2023/01/04)
